ax,ay,az,gx,gy,gz,temp,volt,vel

-0.066315,2.746024,9.175979,17.421175,-0.004607,0.012537,-0.039171,3.832000,0.000000

0.084571,2.714888,9.281360,17.429998,0.003120,0.010938,0.042366,3.624000,2751.305699

0.343234,2.475386,9.360395,17.424116,0.005785,0.005342,0.138293,3.492000,2762.251688

0.676141,2.552027,9.252620,17.435881,0.008982,0.040249,0.246743,3.368000,2772.177894

-0.142955,2.734049,9.063413,17.453527,0.009782,0.027725,0.315490,3.276000,2565.750193

0.589921,3.050191,9.266990,17.459410,0.006318,0.021863,0.349597,3.212000,2488.055726

-0.229176,2.621483,8.816726,17.453527,-0.013134,0.010671,0.383971,3.144000,2573.834940

1.100060,2.647828,9.571157,17.485882,-0.004874,0.000546,0.312026,3.088000,2751.850869

1.859281,2.698123,8.981982,17.482941,-0.010736,0.025060,0.236084,3.040000,2715.791037

0.518070,2.643038,9.408296,17.471176,0.014045,0.062898,0.065016,2.980000,2082.147270

0.985099,2.657408,8.905341,17.494705,-0.002476,0.035452,-0.084203,2.924000,2659.103733

0.827027,3.936348,8.905341,17.485882,-0.004074,0.061033,0.002663,2.852000,2081.834958

-0.997977,4.252491,9.322075,17.497646,0.030033,0.122053,0.043965,2.796000,2771.624673

-1.271010,3.699241,8.661049,17.500587,0.006318,0.045045,0.057821,2.744000,2771.624673

-0.506998,3.708822,8.934082,17.488823,0.000988,-0.047151,-0.087401,2.696000,1113.271801

-0.600404,3.339988,8.874207,17.491764,-0.062163,-0.078860,-0.425275,2.640000,2758.410708

1.387462,3.237003,9.583132,17.515293,0.018042,0.079419,-0.245946,2.596000,2368.384647

-1.819469,2.757999,8.768826,17.521175,0.022305,0.005342,-0.025049,2.544000,2417.030428

-0.554899,3.375914,8.486213,17.527058,-0.050705,-0.061274,0.019450,2.492000,427.112033

-0.792006,4.561449,9.530441,17.515293,-0.031254,-0.040490,0.005861,2.448000,2578.614554

-1.096173,4.173456,9.235854,17.529999,-0.008871,0.007207,0.034905,2.396000,1433.155048

1.138380,4.592584,8.833491,17.541763,-0.008338,-0.055944,0.047695,2.332000,2761.702281

0.506095,4.812926,8.110195,17.544704,-0.015799,0.070625,0.107383,2.292000,1330.316122

-0.439938,4.738680,9.427456,17.553528,-0.025924,0.000546,0.055156,2.744000,2164.926672

0.309703,3.902818,8.756850,17.559410,0.047353,0.028791,0.071144,3.884000,1272.412726

0.249828,4.381822,8.411967,17.550587,-0.024592,0.030656,0.081003,4.044000,2658.085644

0.024696,4.585399,9.077783,17.565292,-0.060564,0.051440,0.062617,4.624000,2657.068403

-0.528554,4.264466,9.585527,17.565292,-0.026724,0.063164,0.096458,5.024000,2170.001436

-0.787216,4.453673,8.059899,17.565292,-0.003541,0.087945,0.137227,5.368000,2394.936103

-0.947682,4.357872,9.099339,17.571175,-0.045110,0.035186,0.139625,6.056000,2765.001905

0.077386,5.485926,7.964098,17.579998,0.022572,0.051174,0.075408,6.304000,1946.158381

-0.770451,4.930282,7.588080,17.574116,0.052682,0.079152,-0.023983,6.980000,2756.220705

-1.867369,4.585399,8.768826,17.579998,-0.005140,-0.003451,-0.095661,7.068000,2767.205892

-1.479376,4.250096,10.888417,17.591763,-0.079217,-0.047950,-0.034908,7.168000,2053.814530

-3.804940,2.487362,8.021579,17.600588,0.010048,-0.236872,0.651766,7.212000,2130.710418

-0.705785,3.483690,11.008168,17.594706,-0.036316,-0.062872,1.185757,7.248000,2270.783315

-1.098568,4.314762,9.190349,17.585880,0.073466,0.054371,1.587049,7.276000,2503.757598

-1.785939,2.899305,9.745994,17.603529,0.157668,-0.084189,1.703493,7.284000,2631.887606

1.260526,3.172337,10.387858,17.594706,0.133154,0.001345,1.623821,7.284000,2584.854664

2.987335,-0.168715,8.023974,17.597647,0.222952,0.073556,1.568930,7.292000,2501.502336

2.527491,1.184471,9.587922,17.609411,0.026835,0.174279,1.539619,7.264000,2322.046675

0.975519,1.788016,9.585527,17.615294,0.032431,0.338420,1.398660,7.268000,2210.416908

1.061739,2.925650,10.086086,17.612352,-0.024059,0.226772,1.079172,7.280000,2395.762439

2.093993,3.505245,9.551997,17.618235,0.049218,0.459927,0.845484,7.280000,2483.161485

1.023419,4.614139,8.795171,17.629999,0.061475,0.353875,0.651233,7.292000,2401.978819

3.545375,1.955667,8.122169,17.624117,0.103310,0.353342,0.411150,7.292000,2498.351876

1.368302,2.825059,7.573710,17.624117,0.131289,0.540932,0.378109,7.296000,2447.275183

-1.000372,0.638407,6.852809,17.647646,-0.068025,0.555321,0.229689,7.288000,2415.768888

1.825751,3.251373,10.246552,17.659410,-0.120785,0.429284,0.039702,7.284000,2379.341866

-1.491351,-0.247751,10.088481,17.668234,-0.033918,0.309642,-0.387438,7.256000,466.609741

1.619779,2.058653,10.272898,17.674116,-0.281195,0.174812,-0.603539,7.252000,2228.151356

1.614989,2.166429,8.289822,17.685881,-0.028589,0.332025,-0.931554,7.244000,2166.953738

2.831659,4.870406,9.513677,17.691763,0.150474,0.305112,-0.983781,7.260000,2629.893805

-1.287775,-0.863271,7.703041,17.691763,-0.137306,0.249155,-0.928357,7.248000,2171.358746

2.513121,1.914952,8.646679,17.688822,0.063074,0.203324,-0.662960,7.232000,1077.842103

-3.809730,4.192616,10.229787,17.694704,0.023105,0.217180,-0.333079,7.224000,2158.196905

-5.912558,-3.485817,10.457314,17.694704,0.132621,0.342950,-0.605937,7.212000,2253.463095

-1.345255,2.099368,6.383386,17.700586,-0.039247,-0.065803,-0.095928,7.184000,2673.438549

-3.045719,2.810689,8.526928,17.700586,0.169393,0.057036,-0.194785,7.216000,2049.267985

-0.789611,1.503009,8.198811,17.709410,-0.016332,-0.139880,-0.223830,7.212000,2140.564160

0.800682,3.280113,8.984377,17.730000,-0.112258,-0.021837,0.035971,7.220000,2107.747380

1.409017,2.125714,7.468329,17.721176,-0.149296,-0.001852,0.015720,7.232000,2079.652370

0.654586,2.951995,10.004656,17.724117,-0.027790,0.061033,0.016786,7.224000,2161.556491

1.365907,4.453673,9.932805,17.724117,-0.060564,0.140172,-0.101257,7.220000,2019.758458

-1.053063,3.723191,8.735295,17.703527,-0.043777,0.207587,-0.273392,7.244000,2045.946537

-2.966683,3.057376,7.901828,17.741764,-0.106396,0.083149,-0.604605,7.264000,2236.765381

-1.081803,6.623560,9.037067,17.732941,-0.047774,0.038650,-0.683744,7.288000,2517.374773

-2.073341,6.408009,9.453801,17.741764,-0.047241,0.090610,-0.442063,7.304000,2657.068403

-1.994306,5.560172,6.826464,17.735882,-0.077884,-0.028499,-0.062354,7.344000,2776.057437

0.271383,3.972274,11.345866,17.747646,-0.239627,0.041314,0.568896,7.352000,2770.518653

-0.641119,6.367293,9.556787,17.747646,-0.063229,0.270739,0.791659,7.364000,2682.735679

-2.185907,7.595939,6.936635,17.741764,0.089987,0.384252,0.751956,7.372000,2682.735679

-3.330726,5.052428,8.713739,17.735882,-0.181272,0.284062,0.588881,7.400000,2682.735679

-1.740433,8.098892,6.821674,17.750587,0.043889,0.328561,0.508942,7.408000,2682.735679

-1.723668,3.519615,8.558064,17.759411,-0.066160,0.232635,0.375178,7.412000,2682.735679

-3.431317,3.227422,11.537468,17.747646,-0.069891,0.247556,-0.004531,7.424000,2682.735679

-5.902977,3.876473,11.559023,17.759411,0.015111,0.310442,-0.080207,7.428000,56.066572

-4.554582,-0.099259,9.810658,17.759411,0.196039,-0.136150,-0.321888,7.416000,56.066572

-4.185749,-3.155304,8.093430,17.774117,0.215491,-0.367705,-0.621658,7.424000,207.041202

-1.773964,2.269415,9.226274,17.768234,0.043089,-0.226747,-0.542785,7.416000,899.633257

-0.990792,-0.343551,6.424101,17.794704,-0.047508,-0.307485,-0.300305,7.400000,899.633257

2.692748,5.229659,9.621452,17.777058,0.184048,0.090876,0.136694,7.396000,899.633257

5.346429,2.978341,11.597343,17.762352,0.200569,0.057302,0.336541,7.400000,854.776228

1.928736,3.850127,9.302915,17.774117,0.075331,0.212916,0.182525,7.392000,1118.652945

-0.978817,4.087235,7.243197,17.782940,-0.058166,0.202791,-0.142026,7.396000,1928.856806

-1.819469,2.544842,10.296848,17.794704,-0.210849,0.098337,-0.569698,7.396000,2255.293112

-3.941456,2.609508,9.101733,17.785881,-0.068292,0.197994,-0.960066,7.416000,2023.290092

-4.585717,4.084840,5.918752,17.806469,0.122229,-0.020505,-1.149787,7.424000,2321.658509

-2.276918,-2.740966,9.041858,17.782940,0.057478,-0.318676,-1.290746,7.424000,1934.230322

-6.599928,5.002132,7.671906,17.806469,0.114768,-0.254459,-1.283551,7.436000,2028.018007

-3.620524,3.270533,7.928173,17.794704,0.245867,-0.542505,-1.224396,7.432000,2011.857412

-3.251691,8.151583,7.715016,17.794704,0.391889,-0.659482,-0.840690,7.440000,2121.919259

-0.107030,4.362662,7.384504,17.809410,0.255194,-0.907292,-0.117778,7.456000,1916.874506

3.406464,10.721439,5.439748,17.788822,0.349788,-0.513460,0.580087,7.468000,253.017255

1.078505,2.310130,9.652588,17.797646,0.044955,-0.285635,0.796189,7.468000,2319.331843

0.264198,3.316038,7.283913,17.791763,0.079595,-0.373035,0.771141,7.472000,1235.175153

2.395765,1.160521,10.914762,17.809410,0.448379,-0.066070,0.947006,7.480000,1235.175153

2.199374,2.001173,8.977192,17.800587,-0.796267,-0.312281,0.863337,7.476000,2514.639600

-2.061366,-1.742243,14.052238,17.785881,-0.446402,0.061299,0.977916,7.480000,2255.659454

2.901114,1.620364,12.869099,17.809410,-0.287058,0.136708,1.001365,7.476000,2731.282300

-2.724787,-0.520783,10.897998,17.824116,-0.072022,0.546794,1.113012,7.468000,2135.625847

-1.314120,-2.101496,9.420271,17.818233,-0.073621,0.451933,0.678945,7.460000,2025.946869

-3.886371,4.147110,9.116103,17.829998,-0.009937,0.400506,0.604069,7.464000,2066.037739

-1.017138,2.683753,9.602292,17.818233,0.023638,0.271005,0.523864,7.456000,2036.942862

-2.530790,2.863380,9.609477,17.827057,0.016976,0.483376,0.450853,7.456000,1973.822212

-2.837352,1.641920,9.899275,17.821175,-0.137839,0.279798,0.409019,7.456000,1856.643914

-0.279472,0.386930,4.014711,17.818233,0.222952,0.369063,0.423674,7.464000,2284.606650

-5.768856,4.295601,13.106206,17.818233,-0.689416,0.230769,0.511074,7.452000,2213.235562

0.546810,-1.148278,7.698251,17.847647,-0.174077,0.338154,0.482562,7.468000,2137.269409

-1.009952,13.008682,7.803632,17.829998,0.399616,0.766892,0.313891,7.476000,2313.535412

-1.603917,1.596414,9.966335,17.856470,-0.257214,0.166818,-0.059955,7.488000,2332.970417

-5.244347,1.067115,9.666958,17.841763,-0.197260,0.332292,-0.821505,7.496000,2561.018041

-5.359308,1.201236,10.181887,17.838821,-0.133042,0.136442,-1.076510,7.504000,2489.840401

-3.072064,1.026400,10.466894,17.847647,0.212293,-0.108970,-1.414651,7.500000,2492.074475

-0.897387,-0.120815,9.638218,17.865294,0.004452,-0.200101,-1.416249,7.500000,2482.273703

0.271383,0.149823,9.525652,17.862352,0.087855,-0.454572,-1.216669,7.500000,2397.003215

2.462826,-0.070519,9.870534,17.868235,0.305555,-0.499871,-1.030678,7.492000,2358.729226

-0.229176,0.401300,7.595265,17.853529,0.210428,-0.323739,-0.834029,7.500000,2359.931863

-4.410880,0.935389,9.283754,17.850588,-0.102399,-0.427127,-0.585153,7.496000,2218.894059

-2.631381,0.135452,8.067084,17.865294,0.230946,-0.545169,-0.711456,7.496000,2401.148033

-4.638407,4.460858,9.037067,17.850588,0.053482,-0.060741,-0.068749,7.500000,2389.578266

-1.994306,1.562884,6.838439,17.868235,0.291699,-0.632569,-0.255006,7.508000,2510.547752

-3.893556,4.223751,5.923542,17.877058,0.306621,-0.802572,0.049028,7.512000,2569.072913

-0.502208,0.952154,5.842111,17.862352,0.193641,-1.055712,0.270725,7.516000,2627.902970

0.470170,3.900423,7.724597,17.865294,0.191776,-0.855332,0.567830,7.524000,2681.181532

0.707277,7.600728,7.762917,17.871176,0.186713,-0.701849,0.866801,7.536000,2728.598826

2.582577,4.654854,9.336445,17.882940,0.152606,-0.499338,1.131931,7.532000,2720.579762

