trial,window,stride,filters,kernels,dense_units_motion,dense_units_vel,dense_units_fusion,dropout_motion,dropout_vel,dropout_fusion,gaussian_noise,l2_reg,learning_rate,use_class_weights,cv_mean_accuracy,cv_mean_expected_score_mae,cv_mean_linear_weighted_kappa,cv_mean_quadratic_weighted_kappa,cv_mean_within_1_class,cv_mean_within_2_classes,cv_std_quadratic_weighted_kappa,original_sample_rate_hz,target_sample_rate_hz,downsample_factor,downsample_phase
2,192,16,"(12, 24, 24)","(7, 5, 3)",24,12,16,0.1,0.1,0.2,0.05,0.0001,0.001,True,0.4587984672686835,0.6464693915125559,0.4155711652742267,0.5760879297847301,0.8804134623114231,1.0,0.14378820063189718,100,50,2,0
9,128,32,"(24, 32, 48)","(7, 5, 3)",24,12,24,0.2,0.1,0.2,0.0,0.0001,0.0005,False,0.4332971901815259,0.7655312041704945,0.3315001303150328,0.48984192360144047,0.9263380755641136,1.0,0.049435251196070895,100,50,2,0
7,192,16,"(16, 24, 32)","(7, 5, 3)",24,6,24,0.2,0.1,0.1,0.05,0.0001,0.0005,False,0.41536482756772686,0.7346355483403476,0.2948735452907674,0.46541852189600746,0.9302406280982878,0.9985074626865671,0.09796232074397232,100,50,2,0
6,64,16,"(16, 24, 32)","(7, 5, 3)",16,12,12,0.1,0.1,0.1,0.05,0.0005,0.001,False,0.41759936406995235,0.7649818915428784,0.24253876122245016,0.34080114950582374,0.8623041865394807,0.992,0.039818746396679816,100,50,2,0
3,192,16,"(16, 24, 32)","(7, 5, 3)",24,12,16,0.1,0.1,0.2,0.05,0.0001,0.0005,False,0.2501366596103861,0.8383304146412066,0.17424519505374475,0.2951898943042919,0.8411318631260216,0.9238805970149253,0.23082975284964946,100,50,2,0
1,64,16,"(24, 32, 48)","(7, 5, 3)",16,6,24,0.1,0.1,0.2,0.0,0.0005,0.0005,True,0.2595177530471648,0.79927965928059,0.15926340994066351,0.2343948612503794,0.7675559088500266,0.856634870164282,0.1287567225859399,100,50,2,0
5,64,32,"(24, 32, 48)","(7, 5, 3)",24,6,24,0.2,0.1,0.1,0.05,0.0005,0.0005,False,0.27405981764136134,0.840900417204901,0.13740606961030666,0.23281521735477223,0.8633479175712233,0.9284968771918105,0.19175036226912684,100,50,2,0
8,64,32,"(12, 24, 24)","(7, 5, 3)",24,6,12,0.2,0.1,0.1,0.05,0.0001,0.0005,False,0.3357979025416653,0.8901216469209661,0.17811640731754325,0.2254034871477646,0.803726495441034,0.9419566814735647,0.03680318442963204,100,50,2,0
4,128,16,"(12, 24, 24)","(7, 5, 3)",24,8,16,0.2,0.1,0.1,0.0,0.0001,0.001,True,0.3133030900410897,0.6892765506512734,0.16624636940485327,0.21731580699720643,0.7759779588152863,0.914094007552906,0.23593169020675442,100,50,2,0
10,128,32,"(24, 32, 48)","(5, 5, 3)",24,8,16,0.2,0.1,0.2,0.0,0.0005,0.0005,False,0.278733805686938,0.8959001543127822,0.11860743111790939,0.21349390300998738,0.9129479725561309,1.0,0.2911222967383402,100,50,2,0
