Program Time [s],data 0
19.9095,9.85459
19.9216,9.7516
19.9336,9.81148
19.9455,9.83782
19.9575,9.77795
19.9695,9.7995
19.9815,9.78753
19.9935,9.81148
20.0055,9.86896
20.0175,9.74921
20.0294,9.79232
20.0415,9.8498
20.0535,9.83064
20.0655,9.83543
20.0775,9.81387
20.0895,9.7516
20.1014,9.82345
20.1135,9.80669
20.1255,9.74202
20.1375,9.78992
20.1495,9.82824
20.1615,9.8019
20.1735,9.88333
20.1855,9.77795
20.1975,9.83064
20.2095,9.77316
20.2215,9.82585
20.2335,9.79471
20.2455,9.81387
20.2575,9.8019
20.2695,9.83543
20.2815,9.76597
20.2935,9.82345
20.3055,9.80429
20.3175,9.84501
20.3295,9.78992
20.3415,9.86417
20.3535,9.77795
20.3655,9.7516
20.3775,9.75639
20.3895,9.80429
20.4015,9.82106
20.4135,9.74442
20.4255,9.84022
20.4375,9.80908
20.4495,9.81148
20.4615,9.82345
20.4735,9.77316
20.4855,9.78034
20.4975,9.80908
20.5094,9.84501
20.5215,9.73963
20.5335,9.80429
20.5455,9.81627
20.5575,9.85938
20.5695,9.76358
20.5815,9.82345
20.5935,9.78274
20.6055,9.85938
20.6175,9.78753
20.6295,9.80429
20.6415,9.81387
20.6535,9.79471
20.6655,9.79232
20.6775,9.81148
20.6895,9.86656
20.7015,9.83543
20.7135,9.80908
20.7255,9.81387
20.7376,9.73963
20.7495,9.78513
20.7615,9.78513
20.7735,9.88573
20.7855,9.82824
20.7975,9.82585
20.8095,9.85698
20.8215,9.77555
20.8335,9.85219
20.8455,9.80429
20.8575,9.80429
20.8695,9.85938
20.8815,9.79711
20.8935,9.82345
20.9055,9.77316
20.9175,9.77555
20.9295,9.8019
20.9415,9.73484
20.9534,9.76118
20.9655,9.80669
20.9775,9.83064
20.9895,9.76837
21.0015,9.78274
21.0135,9.85698
21.0255,9.76837
21.0375,9.78034
21.0495,9.79232
21.0615,9.84022
21.0735,9.84022
21.0855,9.79471
21.0975,9.81866
21.1095,9.81627
21.1215,9.71089
21.1334,9.91446
21.1455,9.83782
21.1576,9.79471
21.1695,9.80669
21.1815,9.77555
21.1934,9.79471
21.2055,9.8474
21.2175,9.79711
21.2295,9.87854
21.2415,9.72765
21.2535,9.83543
21.2655,9.81387
21.2775,9.80908
21.2895,9.74681
21.3015,9.79471
21.3135,9.8498
21.3255,9.81387
21.3375,9.78034
21.3495,9.77795
21.3615,9.84022
21.3735,9.80669
21.3859,9.82585
21.3975,9.80908
21.4095,9.82585
21.4215,9.83543
21.4335,9.76597
21.4455,9.76837
21.4575,9.85698
21.4695,9.76837
21.4815,9.84022
21.4935,9.7995
21.5055,9.79711
21.5175,9.80429
21.5295,9.83304
21.5415,9.83304
21.5534,9.80429
21.5655,9.77795
21.5775,9.8977
21.5895,9.78034
21.6015,9.77795
21.6135,9.8498
21.6255,9.80429
21.6375,9.78992
21.6497,9.78513
21.6614,9.79711
21.6735,9.78274
21.6855,9.78034
21.6975,9.8953
21.7095,9.83543
21.7215,9.80429
21.7335,9.76118
21.7455,9.82585
21.7575,9.81866
21.7695,9.90728
21.7815,9.83782
21.7935,9.82585
21.8055,9.84022
21.8175,9.79711
21.8297,9.86417
21.8415,9.81866
21.8535,9.84261
21.8655,9.81866
21.8775,9.81148
21.8895,9.80908
21.9015,9.78992
21.9135,9.82585
21.9254,9.85698
21.9375,9.85459
21.9495,9.81866
21.9615,9.80429
21.9735,9.79232
21.9855,9.7995
21.9975,9.86177
22.0095,9.81866
22.0215,9.86177
22.0334,9.80908
22.0455,9.82106
22.0575,9.85219
22.0695,9.84501
22.0815,9.80429
22.0935,9.72286
22.1054,9.78513
22.1175,9.78034
22.1295,9.76118
22.1415,9.81387
22.1535,9.78274
22.1655,9.79471
22.1775,9.84261
22.1895,9.81627
22.2015,9.81627
22.2135,9.77555
22.2255,9.80429
22.2375,9.84022
22.2495,9.79471
22.2615,9.76358
22.2735,9.77316
22.2855,9.82106
22.2975,9.78753
22.3095,9.80908
22.3215,9.78513
22.3335,9.81387
22.3455,9.78034
22.3575,9.86417
22.3694,9.78034
22.3815,9.81148
22.3937,9.86417
22.4054,9.81866
22.4175,9.81627
22.4294,9.81866
22.4415,9.83782
22.4535,9.80429
22.4655,9.85698
22.4775,9.73005
22.4895,9.7995
22.5015,9.91925
22.5135,9.84501
22.5254,9.77316
22.5375,9.86177
22.5495,9.82106
22.5615,9.81148
22.5735,9.78753
22.5854,9.7995
22.5975,9.87614
22.6095,9.8977
22.6215,9.76118
22.6335,9.86896
22.6455,9.76837
22.6575,9.754
22.6696,9.80669
22.6815,9.77795
22.6935,9.77076
22.7055,9.81627
22.7175,9.83064
22.7295,9.79471
22.7415,9.78274
22.7535,9.79711
22.7655,9.86417
22.7775,9.81866
22.7895,9.7995
22.8015,9.80429
22.8135,9.76597
22.8255,9.86896
22.8375,9.8019
22.8495,9.74681
22.8615,9.76118
22.8735,9.78513
22.8855,9.85938
22.8975,9.80908
22.9095,9.76837
22.9215,9.76837
22.9335,9.79471
22.9455,9.85459
22.9575,9.83064
22.9695,9.89051
22.9815,9.80669
22.9935,9.82345
23.0055,9.84022
23.0175,9.82585
23.0295,9.85698
23.0415,9.78513
23.0535,9.76358
23.0655,9.78513
23.0775,9.82106
23.0894,9.82824
23.1015,9.8019
23.1134,9.80429
23.1255,9.78992
23.1375,9.81866
23.1495,9.7995
23.1615,9.7516
23.1735,9.83064
23.1854,9.78992
23.1975,9.84022
23.2095,9.81148
23.2215,9.77795
23.2335,9.77795
23.2455,9.80429
23.2575,9.74681
23.2695,9.85459
23.2814,9.81148
23.2935,9.83064
23.3055,9.83782
23.3174,9.88812
23.3295,9.82106
23.3415,9.74681
23.3535,9.80669
23.3655,9.75879
23.3775,9.8019
23.3895,9.78274
23.4015,9.79232
23.4135,9.8019
23.4254,9.81866
23.4375,9.80669
23.4495,9.84261
23.4615,9.79471
23.4735,9.81387
23.4855,9.7995
23.4975,9.82345
23.5095,9.83782
23.5216,9.80908
23.5335,9.82585
23.5455,9.73963
23.5575,9.81387
23.5695,9.79471
23.5815,9.78992
23.5935,9.82585
23.6055,9.7516
23.6175,9.78753
23.6295,9.84261
23.6415,9.78992
23.6535,9.74202
23.6655,9.77316
23.6775,9.79471
23.6895,9.8498
23.7015,9.83064
23.7135,9.73484
23.7255,9.85698
23.7375,9.78513
23.7495,9.8498
23.7615,9.82345
23.7735,9.76358
23.7855,9.82106
23.7975,9.79471
23.8095,9.80908
23.8215,9.78274
23.8335,9.87375
23.8455,9.80908
23.8576,9.76118
23.8695,9.82585
23.8815,9.81148
23.8935,9.78513
23.9055,9.79471
23.9175,9.79232
23.9294,9.75639
23.9415,9.83304
23.9535,9.81387
23.9655,9.75879
23.9775,9.74442
23.9895,9.86417
24.0014,9.82345
24.0135,9.8019
24.0255,9.83543
24.0374,9.88333
24.0495,9.88093
24.0615,9.8474
24.0735,9.84261
24.0855,9.78513
24.0975,9.82106
24.1095,9.75639
24.1215,9.83304
24.1335,9.77795
24.1455,9.78274
24.1575,9.82585
24.1695,9.77795
24.1815,9.77076
24.1935,9.76118
24.2055,9.88812
24.2174,9.80908
24.2295,9.79232
24.2414,9.76597
24.2535,9.78992
24.2655,9.83064
24.2775,9.80429
24.2895,9.83064
24.3015,9.83064
24.3135,9.84501
24.3255,9.78034
24.3375,9.79471
24.3495,9.80669
24.3615,9.79711
24.3735,9.82345
24.3855,9.8474
24.3975,9.77316
24.4095,9.73963
24.4215,9.78513
24.4335,9.8474
24.4455,9.85459
24.4575,9.85698
24.4695,9.84261
24.4814,9.69412
24.4935,9.85698
24.5055,9.81627
24.5175,9.72765
24.5295,9.8498
24.5415,9.83543
24.5535,9.83543
24.5655,9.78513
24.5775,9.80669
24.5895,9.78753
24.6015,9.84022
24.6135,9.81627
24.6255,9.74681
24.6375,9.89291
24.6495,9.80429
24.6615,9.78274
24.6735,9.90488
24.6855,9.84261
24.6975,9.7995
24.7095,9.78274
24.7215,9.80908
24.7335,9.79711
24.7455,9.82824
24.7575,9.8474
24.7695,9.81866
24.7815,9.7995
24.7935,9.80669
24.8055,9.82824
24.8175,9.84022
24.8295,9.73244
24.8415,9.76358
24.8535,9.83064
24.8654,9.76358
24.8775,9.87375
24.8895,9.83543
24.9015,9.85938
24.9135,9.77076
24.9255,9.79711
24.9375,9.83543
24.9495,9.7995
24.9615,9.78274
24.9735,9.82106
24.9855,9.8498
24.9975,9.73244
25.0095,9.81387
25.0215,9.77316
25.0335,9.82824
25.0455,9.83304
25.0575,9.81866
25.0695,9.8474
25.0815,9.85938
25.0935,9.81387
25.1055,9.79471
25.1175,9.7995
25.1295,9.77555
25.1415,9.73963
25.1535,9.80429
25.1654,9.80908
25.1775,9.78513
25.1895,9.77795
25.2015,9.87854
25.2135,9.84501
25.2256,9.83064
25.2376,9.8498
25.2495,9.85459
25.2615,9.82585
25.2735,9.78034
25.2856,9.82345
25.2975,9.79471
25.3095,9.81387
25.3215,9.85938
25.3335,9.82585
25.3455,9.8498
25.3575,9.83064
25.3695,9.84022
25.3815,9.78034
25.3935,9.80429
25.4055,9.78034
25.4175,9.70131
25.4295,9.84022
25.4415,9.80429
25.4535,9.87135
25.4655,9.76837
25.4775,9.76118
25.4895,9.77555
25.5015,9.8019
25.5135,9.85698
25.5255,9.87375
25.5375,9.82585
25.5495,9.76358
25.5615,9.80669
25.5735,9.79711
25.5855,9.76597
25.5975,9.78513
25.6095,9.87854
25.6215,9.80669
25.6335,9.8019
25.6455,9.80429
25.6575,9.75639
25.6695,9.8019
25.6815,9.87135
25.6935,9.83543
25.7055,9.8474
25.7175,9.79232
25.7295,9.79232
25.7414,9.85698
25.7535,9.76597
25.7655,9.83782
25.7775,9.81387
25.7895,9.82585
25.8015,9.75639
25.8135,9.8953
25.8255,9.76837
25.8375,9.78034
25.8494,9.79471
25.8615,9.81387
25.8735,9.80908
25.8855,9.81387
25.8975,9.82824
25.9095,9.84022
25.9214,9.78992
25.9335,9.80669
25.9455,9.81627
25.9575,9.80908
25.9695,9.79471
25.9815,9.82345
25.9935,9.82345
26.0055,9.7995
26.0175,9.8498
26.0295,9.8474
26.0415,9.77076
26.0535,9.80429
26.0655,9.82585
26.0775,9.78274
26.0895,9.74202
26.1015,9.82345
26.1135,9.85459
26.1255,9.83064
26.1374,9.82106
26.1495,9.78513
26.1615,9.78034
26.1735,9.76597
26.1855,9.84501
26.1975,9.7995
26.2094,9.83304
26.2215,9.80429
26.2335,9.73005
26.2455,9.7516
26.2575,9.80429
26.2695,9.78513
26.2815,9.78753
26.2935,9.78992
26.3055,9.80429
26.3174,9.79711
26.3295,9.80908
26.3415,9.81148
26.3535,9.78513
26.3655,9.81627
26.3775,9.754
26.3895,9.75639
26.4015,9.81627
